Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
513650	0	506995	21898	Aramaic	מָרֵֽא־	מָרֵֽא־	mā·rê-	N-msc	Noun - masculine singular construct	4756								 the Lord 				
513651	0	506996	21898	Aramaic	שְׁמַיָּ֣א׀	שְׁמַיָּ֣א׀	šə·may·yā	N-mdd	Noun - mdd	8065								 of heaven 	.			
513653	0	506997	21898	Aramaic	וּלְמָֽאנַיָּ֨א	וּלְמָֽאנַיָּ֨א	ū·lə·mā·nay·yā	Conj-w, Prep-l | N-mpd	Conjunctive waw, Preposition-l | Noun - masculine plural determinate	3984								 The vessels 				
513654	0	506998	21898	Aramaic	דִֽי־	דִֽי־	ḏî-	Pro-r	Pronoun - relative	1768								 from 				
513655	0	506999	21898	Aramaic	בַיְתֵ֜הּ	בַיְתֵ֜הּ	ḇay·ṯêh	N-msc | 3ms	Noun - masculine singular construct | third person masculine singular	1005								 His house 				
513656	0	507000	21898	Aramaic	הַיְתִ֣יו	הַיְתִ֣יו	hay·ṯîw	V-Hifil-Perf-3mp	Verb - Hifil - Perfect - third person masculine plural	858								 were brought 				
513659	0	507001	21898	Aramaic	קָדָמַיִךְ	קָדָמַיִךְ	qå̄·ḏå̄·ma·yiḵ	Prep | 2ms	Preposition | second person masculine singular	6925								 to you 	,			
513663	0	507002	21898	Aramaic	וְאַנְתָּה	וְאַנְתָּה	wə·ʾan·tå̄h	Conj-w | Pro-2ms	Conjunctive waw | Pronoun - second person masculine singular	607								 and as you 				
513672	0	507003	21898	Aramaic	שָׁתַ֣יִן	שָׁתַ֣יִן	šā·ṯa·yin	V-Qal-Prtcpl-mp	Verb - Qal - Participle - masculine plural	8355								 drank 				
513671	0	507004	21898	Aramaic	חַמְרָא֮	חַמְרָא֮	ḥam·rā	N-msd	Noun - masculine singular determinate	2562								 wine 				
513673	0	507005	21898	Aramaic	בְּהוֹן֒	בְּהוֹן֒	bə·hō·wn	Prep | 3mp	Preposition | third person masculine plural									 from them 				
513667	0	507006	21898	Aramaic	וְרַבְרְבָנַיִךְ	וְרַבְרְבָנַיִךְ	wə·raḇ·rə·ḇå̄·na·yiḵ	Conj-w | N-mpc | 2ms	Conjunctive waw | Noun - masculine plural construct | second person masculine singular	7261								 with your nobles 	,			
